strand;type;clone;glyc_stock_box_as_plasmid;comment_as_plasmid;origin_id;date_as_plasmid;Created at;Updated at;qc validation;name;temp_name;number;strict_validation;plasmid_validation;target
Unknown;Unknown;;0;AAV - mouse cone arrestin;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-mCAR-eNphR-eYFP;None;92;0;1;Cones
Unknown;Transgene;;0;AAV - mouse cone arrestin;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-mCAR-GFP;None;93;0;1;Cones
Unknown;Transgene;;0;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;TM-LacZ ou XX2-LacZ;None;94;0;1;Unknown
Unknown;Transgene;;0;Lenti rapporteur - human gamma synuclein;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-SNCG-GFP-dU3;None;95;0;1;RGC
Unknown;Transgene;;0;pENtr;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pENTR/D-topo-GFP;None;96;0;1;Unknown
Unknown;Transgene;;3;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV9;None;97;0;1;Unknown
Unknown;Transgene;;0;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV7;None;98;0;1;Unknown
Unknown;Transgene;;3;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-EF1a-ChR2d(L132C)-2A-nlsGFP;None;99;0;1;Ubiquitous
Unknown;Transgene;;0;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-CAG-ChR2c (C128T)-nlsGFP;None;100;0;1;Ubiquitous
Unknown;Transgene;;0;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-CAG-ChR2e-nlsGFP;None;101;0;1;Ubiquitous
Unknown;Transgene;;0;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pscPGK-MECP2;None;102;0;1;Unknown
