"strand";"type";"clone";"glyc_stock_box_as_plasmid";"comment_as_plasmid";"origin_as_plasmid";"date_as_plasmid";"Created at";"Updated at";"Qc validation";"name";"temp_name";"number"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pSUB201";"None";"103"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTRE GFP";"None";"104"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTR-CBA-GFP";"None";"105"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXX2";"None";"106"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV8-7mer";"None";"107"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV9-7mer";"None";"108"
"sc";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTR-scCAG-GFP";"None";"109"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXR1";"None";"110"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXR2";"None";"111"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXR5";"None";"112"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXX6-80";"None";"113"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXR8 ";"None";"114"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pXR9";"None";"115"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV8-Y733F-7mer ";"None";"116"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV8-7mer in PUC57";"None";"117"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV9-7mer";"None";"118"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"AAV9-7mer in PUC57";"None";"119"
"sc";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"sc-CAG-GFP";"None";"120"
"unknown";"unknown";"";"0";"";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"Rho-eGFP";"None";"121"
