production_id;plate_id;created_at;username;name;titer;titer_atcc;titer_to_atcc;date_of_production
863;1706;January 26, 2017;crobert;863;87500000000000,00;10300000000,00;278640776699029,00;
864;1705;January 25, 2017;crobert;864;53600000000000,00;2060000000,00;853436893203883,00;
864;1706;January 26, 2017;crobert;864;138000000000000,00;10300000000,00;439456310679612,00;
865;1705;January 25, 2017;crobert;865;60800000000000,00;2060000000,00;968077669902913,00;
865;1706;January 26, 2017;crobert;865;136000000000000,00;10300000000,00;433087378640777,00;
866;1705;January 25, 2017;crobert;866;2540000000000,00;2060000000,00;40442718446601,90;
866;1706;January 26, 2017;crobert;866;6600000000000,00;10300000000,00;21017475728155,30;
867;1705;January 25, 2017;crobert;867;7700000000000,00;2060000000,00;122601941747573,00;
867;1706;January 26, 2017;crobert;867;24200000000000,00;10300000000,00;77064077669902,90;
868;1705;January 25, 2017;crobert;868;5630000000000,00;2060000000,00;89642718446601,90;
868;1706;January 26, 2017;crobert;868;9930000000000,00;10300000000,00;31621747572815,50;
869;1705;January 25, 2017;crobert;869;38900000000000,00;2060000000,00;619378640776699,00;
869;1706;January 26, 2017;crobert;869;95500000000000,00;10300000000,00;304116504854369,00;
870;1705;January 25, 2017;crobert;870;99900000000000,00;2060000000,00;1590640776699030,00;
870;1706;January 26, 2017;crobert;870;246000000000000,00;10300000000,00;783378640776699,00;
871;1705;January 25, 2017;crobert;871;44000000000000,00;2060000000,00;700582524271845,00;
871;1706;January 26, 2017;crobert;871;108000000000000,00;10300000000,00;343922330097087,00;
872;1705;January 25, 2017;crobert;872;1300000000000,00;2060000000,00;20699029126213,60;
872;1706;January 26, 2017;crobert;872;10400000000000,00;10300000000,00;33118446601941,70;
873;1705;January 25, 2017;crobert;873;2580000000000,00;2060000000,00;41079611650485,40;
873;1706;January 26, 2017;crobert;873;8930000000000,00;10300000000,00;28437281553398,10;
874;1707;August 2, 2017;jmurat;874;16100000000000,00;31900000000,00;16554231974921,60;
875;1707;August 2, 2017;jmurat;875;25200000000000,00;31900000000,00;25910971786833,90;
876;1707;August 2, 2017;jmurat;876;585000000000,00;31900000000,00;601504702194,36;
877;1707;August 2, 2017;jmurat;877;27500000000000,00;31900000000,00;28275862068965,50;
878;1707;August 2, 2017;jmurat;878;1350000000000000,00;31900000000,00;1388087774294670,00;
879;1707;August 2, 2017;jmurat;879;15100000000000,00;31900000000,00;15526018808777,40;
880;1707;August 2, 2017;jmurat;880;68800000000000,00;31900000000,00;70741065830721,00;
881;1707;August 2, 2017;jmurat;881;38700000000000,00;31900000000,00;39791849529780,60;
882;1707;August 2, 2017;jmurat;882;8890000000000,00;31900000000,00;9140815047021,94;
883;1708;February 15, 2017;jmurat;883;154000000000,00;27000000000,00;187081481481,48;
886;1708;February 15, 2017;jmurat;886;1500000000000,00;27000000000,00;1822222222222,22;
887;1708;February 15, 2017;jmurat;887;137000000000,00;27000000000,00;166429629629,63;
927;17-16;April 26, 2017;crobert;927*;2330000000000,00;16700000000,00;4576287425149,70;
927;17-17;April 27, 2017;crobert;927*;1780000000000,00;9280000000,00;6291379310344,83;
929;17-16;April 26, 2017;crobert;929*;752000000000,00;16700000000,00;1476982035928,14;
929;17-17;April 27, 2017;crobert;929*;1140000000000,00;9280000000,00;4029310344827,59;
953;1719;May 17, 2017;crobert;953;2770000000000,00;16500000000,00;5506424242424,24;
954;1719;May 17, 2017;crobert;954;10500000000000,00;16500000000,00;20872727272727,30;
956;1719;May 17, 2017;crobert;956;22000000000,00;16500000000,00;43733333333,33;
956;1719;May 17, 2017;crobert;956;81700000000,00;16500000000,00;162409696969,70;
992;1728;July 26, 2017;crobert;992;26500000000,00;806000000,00;1078411910669,98;
992;1729;July 27, 2017;crobert;992;1110000000000,00;17200000000,00;2116744186046,51;
992;1728;July 26, 2017;crobert;992;373000000000,00;806000000,00;15179156327543,40;
992;1729;July 27, 2017;crobert;992;4600000000000,00;17200000000,00;8772093023255,81;
1000;1730;August 2, 2017;crobert;1000;6940000000000,00;1940000000,00;117336082474227,00;
1000;1731;August 3, 2017;mdesrosiers;1000;11900000000000,00;14800000000,00;26372972972973,00;
1001;1730;August 2, 2017;crobert;1001;8100000000000,00;1940000000,00;136948453608247,00;
1001;1731;August 3, 2017;mdesrosiers;1001;11200000000000,00;14800000000,00;24821621621621,60;
1002;1732;August 9, 2017;crobert;1002;71600000000000,00;15400000000,00;152498701298701,00;
1003;1732;August 9, 2017;crobert;1003;39100000000000,00;15400000000,00;83277922077922,10;
1004;1732;August 9, 2017;crobert;1004;6790000000000,00;15400000000,00;14461818181818,20;
1005;1732;August 9, 2017;crobert;1005;63300000000000,00;15400000000,00;134820779220779,00;
1006;1733;August 17, 2017;crobert;1006;61100000000000,00;17900000000,00;111959776536313,00;
1007;1733;August 17, 2017;crobert;1007;527000000000,00;17900000000,00;965675977653,63;
1008;1733;August 17, 2017;crobert;1008;110000000000,00;17900000000,00;201564245810,06;
1009;1733;August 17, 2017;crobert;1009;1950000000000,00;17900000000,00;3573184357541,90;
1010;1734;August 23, 2017;crobert;1010;2740000000000,00;16600000000,00;5413975903614,46;
1011;1734;August 23, 2017;crobert;1011;151000000000000,00;16600000000,00;298361445783132,00;
1012;1734;August 23, 2017;crobert;1012;80900000000000,00;16600000000,00;159850602409639,00;
1013;1734;August 23, 2017;crobert;1013;25600000000000,00;16600000000,00;50583132530120,50;
107;1434;October 9, 2014;emace;107;4220000000000000,00;68900000000,00;2008940493468800,00;April 10, 2013
107;1435;October 17, 2014;emace;107;7740000000000000,00;41800000000,00;6073492822966510,00;April 10, 2013
109;1505;February 11, 2015;emace;109;136000000000000,00;17900000000,00;249206703910615,00;November 10, 2013
109;1506;February 18, 2015;emace;109;210000000000000,00;60800000000,00;113289473684211,00;November 10, 2013
111;1612;March 15, 2016;crobert;111;1400000000000000,00;19100000000,00;2404188481675390,00;November 10, 2013
111;1616;March 24, 2016;mdesrosiers;111;2750000000000000,00;96100000000,00;938605619146722,00;November 10, 2013
112;1505;February 11, 2015;emace;112;1610000000000,00;17900000000,00;2950167597765,36;October 17, 2013
112;1506;February 18, 2015;emace;112;13300000000000,00;60800000000,00;7175000000000,00;October 17, 2013
18;1645;October 5, 2016;crobert;18;8790000000000,00;34000000000,00;8479764705882,35;September 27, 2012
19;1645;October 5, 2016;crobert;19;12800000000000,00;34000000000,00;12348235294117,60;April 10, 2012
196;1422;June 16, 2014;cwinkler;196;6780000000000,00;9090000000,00;24464686468646,90;June 13, 2014
21;1645;October 5, 2016;crobert;21;36200000000000,00;34000000000,00;34922352941176,50;April 10, 2012
210;1425;July 17, 2014;eduvelle;210;8390000000000,00;29200000000,00;9424383561643,84;August 1, 2014
211;1425;July 17, 2014;eduvelle;211;7320000000000,00;29200000000,00;8222465753424,66;August 1, 2014
212;1425;July 17, 2014;eduvelle;212;6640000000000,00;29200000000,00;7458630136986,30;August 1, 2014
22;1645;October 5, 2016;crobert;22;3480000000000,00;34000000000,00;3357176470588,24;October 18, 2012
223;1507;February 19, 2015;emace;223;818000000000000,00;16800000000,00;1597047619047620,00;September 12, 2014
223;1508;February 20, 2015;cwinkler;223;389000000000000,00;28000000000,00;455685714285714,00;September 12, 2014
223;1509;February 23, 2015;emace;223;680000000000000,00;41200000000,00;541359223300971,00;September 12, 2014
226;1422;June 16, 2014;cwinkler;226;44000000000000,00;9090000000,00;158767876787679,00;September 19, 2014
227;1422;June 16, 2014;cwinkler;227;59100000000000,00;9090000000,00;213254125412541,00;September 26, 2014
23;1645;October 5, 2016;crobert;23;18400000000000,00;34000000000,00;17750588235294,10;October 18, 2012
238;1507;February 19, 2015;emace;238;1790000000000000,00;16800000000,00;3494761904761900,00;October 31, 2014
238;1508;February 20, 2015;cwinkler;238;1060000000000000,00;28000000000,00;1241714285714290,00;October 31, 2014
238;1509;February 23, 2015;emace;238;1900000000000000,00;41200000000,00;1512621359223300,00;October 31, 2014
251;1618;April 6, 2016;crobert;251;177000000000000,00;31900000000,00;181993730407524,00;December 5, 2014
252;1618;April 6, 2016;crobert;252;773000000000000,00;31900000000,00;794808777429467,00;December 12, 2014
263;1422;June 16, 2014;cwinkler;263;21700000000000,00;9090000000,00;78301430143014,30;January 16, 2014
286;1609;February 25, 2016;crobert;286;18300000000000,00;68900000000,00;8711756168359,94;March 6, 2015
286;1616;March 24, 2016;mdesrosiers;286;22000000000000,00;96100000000,00;7508844953173,78;March 6, 2015
292;1718;May 4, 2017;jmurat;292;406000000000000,00;8500000000,00;1566682352941180,00;March 20, 2015
307;1609;February 25, 2016;crobert;307;151000000000000,00;68900000000,00;71883889695210,50;April 24, 2015
312;1423;June 16, 2014;cwinkler;312;969000000000,00;3980000000,00;7985728643216,08;April 24, 2015
313;1423;June 16, 2014;cwinkler;313;4510000000000,00;3980000000,00;37167839195979,90;April 24, 2015
314;1423;June 16, 2014;cwinkler;314;27700000000000,00;3980000000,00;228281407035176,00;April 24, 2015
314;1612;March 15, 2016;crobert;314;82100000000000,00;19100000000,00;140988481675393,00;April 24, 2015
314;1616;March 24, 2016;mdesrosiers;314;293000000000000,00;96100000000,00;100004162330905,00;April 24, 2015
315;1423;June 16, 2014;cwinkler;315;39700000000000,00;3980000000,00;327175879396985,00;May 1, 2015
316;1422;June 16, 2014;cwinkler;316;35800000000000,00;9090000000,00;129179317931793,00;May 1, 2015
317;1422;June 16, 2014;cwinkler;317;27800000000000,00;9090000000,00;100312431243124,00;May 8, 2015
318;1423;June 16, 2014;cwinkler;318;1140000000000,00;3980000000,00;9394974874371,86;May 8, 2015
319;1423;June 16, 2014;cwinkler;319;22000000000000,00;3980000000,00;181306532663317,00;May 8, 2015
320;1424;June 17, 2014;mdesrosiers;320;36400000000000,00;10600000000,00;112633962264151,00;May 15, 2015
321;1424;June 17, 2014;mdesrosiers;321;13100000000000,00;10600000000,00;40535849056603,80;May 15, 2015
321;1443;December 3, 2014;emace;321;18300000000000,00;6990000000,00;85871244635193,10;May 15, 2015
322;1424;June 17, 2014;mdesrosiers;322;8240000000000,00;10600000000,00;25497358490566,00;May 22, 2015
323;1424;June 17, 2014;mdesrosiers;323;7610000000000,00;10600000000,00;23547924528301,90;May 22, 2015
324;1425;July 17, 2014;eduvelle;324;295000000000000,00;29200000000,00;331369863013699,00;May 22, 2015
325;1425;July 17, 2014;eduvelle;325;31500000000000,00;29200000000,00;35383561643835,60;May 22, 2015
326;1425;July 17, 2014;eduvelle;326;430000000000000,00;29200000000,00;483013698630137,00;May 22, 2015
327;1425;July 17, 2014;eduvelle;327;30000000000000,00;29200000000,00;33698630136986,30;May 29, 2015
328;1426;July 24, 2014;eduvelle;328;366000000000,00;10400000000,00;1154307692307,69;May 29, 2015
